Api Content,Api Type
/html/body/div[5]/div[2]/div[1]/div[2]/div[7]/div[1]/a[1],[NODE_REMOVED]
/html/body/div[5]/div[2]/div[1]/div[2]/div[6],[NODE_ADDED]
/html/body/div[5]/div[2]/div[1]/div[2]/ul[2],[NODE_REMOVED]
/html/body/div[5]/div[2]/div[1]/div[2]/div[4]/div[2]/ul[1]/li[2],[PROP_CHANGED]
/html/body/div[5]/div[2]/div[1]/div[2]/div[4]/div[2]/ul[1]/li[1],[NODE_REMOVED]
/html/body/div[5]/div[2]/div[1]/div[1]/div[7],[PROP_CHANGED]
/html/body/div[5]/div[2]/div[1]/div[1]/div[7]/div[2],[PROP_CHANGED]
/html/body/div[5]/div[2]/div[1]/div[1]/div[7]/div[1],[PROP_CHANGED]
/html/body/div[5]/div[2]/div[1]/div[1]/div[8]/div[1]/h2[1]/span[1]/a[1],[NODE_ADDED]
/html/body/div[5]/div[2]/div[1]/div[1]/div[3],[NODE_ADDED]
/html/body/div[4]/div[2]/a[1],[NODE_ADDED]
/html/body/div[4]/div[2]/ul[1]/li[4],[NODE_REMOVED]
/html/body/div[4]/div[2]/ul[1]/li[3],[NODE_REMOVED]
/html/body/div[4]/div[2]/ul[1]/li[2],[NODE_REMOVED]
/html/body/div[4]/div[2]/div[1]/ul[1],[NODE_ADDED]
/html/body/div[4]/div[2]/ul[1]/li[1],[NODE_REMOVED]
/html/body/div[3]/div[1]/div[3]/ul[1]/li[11]/div[1]/table[1]/tbody[1]/tr[1],[NODE_REMOVED]
/html/body/div[3]/div[1]/div[2]/div[2],[PROP_CHANGED]
/html/body/div[3]/div[1]/div[2]/div[2]/div[1],[NODE_ADDED]
/html/body/div[3]/div[1]/div[2]/div[2]/p[2],[NODE_ADDED]
/html/body/div[3]/div[1]/div[2]/div[2]/a[2],[NODE_REMOVED]
/html/body/div[3]/div[1]/div[2]/div[2]/p[1],[NODE_ADDED]
/html/body/div[5]/div[2]/div[1]/div[2]/div[7]/div[1],[PROP_CHANGED]
/html/body/div[3]/div[1]/div[2]/div[2]/a[1],[NODE_REMOVED]
/html/body/div[3]/div[1]/div[2]/div[1],[PROP_CHANGED]
/html/body/div[3]/div[1]/div[2]/div[1]/div[1],[NODE_REMOVED]
/html/body/div[3]/div[1]/div[2]/div[1]/p[3],[NODE_REMOVED]
/html/body/div[3]/div[1]/div[2]/div[1]/a[2],[NODE_ADDED]
/html/body/div[3]/div[1]/div[2]/div[1]/p[2],[NODE_REMOVED]
/html/body/div[3]/div[1]/div[2]/div[1]/a[1],[NODE_ADDED]
/html/body/div[3]/div[1]/div[2]/div[1]/p[1],[NODE_REMOVED]
/html/body/div[3]/div[1]/div[1]/a[2],[PROP_CHANGED]
/html/body/div[3]/div[1]/div[1]/a[1],[NODE_REMOVED]
